1mm,m1,1mm,m2,2mm,m1,2mm,m2,3mm,m1,3mm,m2,4mm,m1,4mm,m2,5mm,m1,5mm,m2,6mm,m1,6mm,m2,7mm,m1,7mm,m2,8mm,m1,8mm,m2,9mm,m1,9mm,m2
x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
-19,177,17,12,-35,164,59,41,-46,165,33,27,-60,237,58,53,-65,227,67,75,-85,203,84,83,-90,180,77,95, ,,,,,,,
-17,170,-22,34,-50,163,49,39,-48,164,32,23,-59,234,57,53,-68,221,66,73,-85,201,79,86,-88,181,74,98,,,,,,,,
-21,170,25,41,-38,162,73,37,-47,160,38,22,-59,234,54,48,-80,218,68,68,-82,200,72,89,-87,181,74,97,,,,,,,,
-24,170,18,19,-36,159,34,35,-45,160,53,22,-63,233,57,56,-72,215,65,67,-82,196,75,84,-93,183,76,95,,,,,,,,
-22,168,-25,21,-40,155,53,28,-45,158,23,20,-59,233,54,54,-74,215,63,66,-86,194,76,91,-89,184,77,101,,,,,,,,
-23,167,-28,21,-47,155,27,27,-44,154,29,20,-59,233,54,52,-74,210,66,62,-79,194,76,88,-93,185,74,91,,,,,,,,
-17,165,-9,18,-33,155,24,25,-42,153,29,18,-55,233,54,54,-78,210,68,62,-85,190,74,83,-88,186,76,95,,,,,,,,
-23,159,-22,9,-36,154,26,22,-40,150,26,18,-58,230,57,55,-72,209,69,60,-91,189,80,90,-91,186,79,97,,,,,,,,
-18,158,30,13,-51,154,30,21,-53,149,39,11,-56,224,53,57,-73,207,66,59,-86,187,76,90,-93,188,76,96,,,,,,,,
-15,155,33,8,-36,153,36,16,-51,147,42,8,-57,217,66,82,-70,203,63,57,-86,194,76,91,-86,192,76,101,,,,,,,,
